,D,R,D conf.,R conf.,cossim_quantiles
0,comprehensive,complete,,,0.9734
1,wealth,prosperity,,,0.9924
2,workers,employees,,n.s.,0.9993
3,contribute,give,,,0.9818
4,values,principles,,,0.9997
5,assault,attack,,,0.9989
6,acknowledge,recognize,,,1.0
7,fear,terror,,,0.896
8,respond,answer,,,0.9685
9,profit,gain,,n.s.,0.9151
10,potentially,possibly,,,0.9795
11,glad,happy,,,0.9999
12,financial,monetary,,,0.9928
13,kinds,types,,n.s.,0.9999
14,end,finish,,,0.9641
15,criminal,illegal,,,0.9892
16,spoke,talked,,,0.9997
17,changes,reforms,,,0.9997
18,mother,mom,,,0.9998
19,responsibility,duty,,,0.9852
20,barriers,walls,,,0.9535
21,indicated,announced,,,0.9972
22,outrageous,excessive,,,0.9818
23,discussion,conversation,,,0.9999
24,maintain,preserve,n.s.,,0.9992
25,basic,fundamental,,n.s.,0.9992
