,index,D,R,D_valence,R_valence
1,0,comprehensive,complete,6.230769230769231,7.615384615384615
2,1,wealth,prosperity,7.0,8.076923076923077
3,2,workers,employees,5.285714285714286,6.333333333333333
4,3,contribute,give,6.533333333333333,7.909090909090909
5,4,values,principles,6.8,6.5
6,5,assault,attack,1.9230769230769231,2.3846153846153846
7,6,acknowledge,recognize,7.142857142857143,6.75
8,8,respond,answer,5.916666666666667,6.0
9,9,profit,gain,7.923076923076923,6.615384615384615
10,10,potentially,possibly,6.0,5.25
11,11,glad,happy,7.083333333333333,8.571428571428571
12,12,financial,monetary,5.6923076923076925,7.0
13,13,kinds,types,6.0,5.583333333333333
14,14,end,finish,4.25,7.5
15,15,criminal,illegal,2.7142857142857144,2.3333333333333335
16,16,spoke,talked,5.571428571428571,6.166666666666667
17,17,changes,reforms,5.076923076923077,5.6923076923076925
18,18,mother,mom,7.666666666666667,6.428571428571429
19,19,responsibility,duty,6.076923076923077,5.076923076923077
20,20,barriers,walls,2.6,4.454545454545454
21,21,indicated,announced,5.0,5.333333333333333
22,22,outrageous,excessive,4.214285714285714,4.25
23,23,discussion,conversation,6.083333333333333,6.714285714285714
24,24,maintain,preserve,5.583333333333333,6.571428571428571
25,25,basic,fundamental,5.333333333333333,4.928571428571429
