,Unnamed: 0,small,large,valence_sm,valence_lg,small_sig,large_sig,diagnosticity
14,14,victory,victories,7.59,,-0.34883193,-0.054531871,0.597014925
13,13,friendship,friendships,7.76,,0.0952069,-0.447840496,0.582089552
1,1,paycheck,paychecks,7.48,,0.614367582,-0.239863249,0.574626866
20,20,bonus,bonuses,8.05,,-0.27577975,-1.285903967,0.574626866
5,5,achievement,achievements,7.28,,0.135990035,0.181479231,0.563909774
7,7,relationship,relationships,7.83,,-0.108819924,0.092638607,0.552238806
2,2,girl,girls,7.15,,-0.623322395,0.153063549,0.552238806
16,16,miracle,miracles,7.3,,-1.112830511,-2.317256386,0.544776119
19,19,winner,winners,7.86,,-0.302528049,-0.141119556,0.537313433
10,10,song,songs,7.59,,-0.026260151,0.363630535,0.537313433
51,51,site,sites,5.22,,-0.573435046,0.264281027,0.582089552
59,59,predecessor,predecessors,5.11,,0.272903319,0.246698621,0.557251908
67,67,referral,referrals,5.52,,-1.839847026,-1.069328873,0.556390977
54,54,region,regions,5.21,,0.172157753,0.285045845,0.54887218
66,66,affiliation,affiliations,5.32,,-0.181221753,0.582747824,0.541353383
50,50,proposal,proposals,5.45,,0.799120647,0.899461168,0.537313433
56,56,instruction,instructions,5.22,,0.337846509,-0.698685493,0.53030303
58,58,particle,particles,5.24,,3.837561723,2.390102746,0.518796992
74,74,town,towns,5.59,,-0.666100676,0.238310835,0.518796992
70,70,pillar,pillars,5.48,,-0.810795859,-1.354731091,0.515151515
97,97,small,big,5.76,5.64,-0.527496678,-0.004161436,0.609022556
82,82,centimeter,kilometer,,5.52,,,0.578947368
85,85,teaspoon,tablespoon,5.25,,,,0.567164179
91,91,hertz,gigahertz,5,,,,0.567164179
75,75,second,minute,5.23,5.5,,0.011405555,0.563909774
94,94,hundred,thousand,6.5,6.44,0.122097198,0.055452752,0.563909774
99,99,narrow,wide,4.95,4.58,0.409324726,0.284736182,0.563909774
90,90,megabyte,gigabyte,,,,,0.54887218
81,81,yard,mile,5.7,4.78,-0.681512842,-0.607424768,0.533834586
86,86,cup,liter,5.94,4.37,-0.009622626,,0.53030303
45,45,crime,crimes,1.95,,-0.028591247,0.011591123,0.47761194
41,41,rapist,rapists,1.3,,-1.846936451,1.553601478,0.406015038
35,35,killer,killers,1.74,,0.050965361,-0.872292025,0.381679389
49,49,death,deaths,1.89,,-0.186512412,0.581157201,0.436090226
30,30,deficiency,deficiencies,2.74,,1.930671127,0.757134872,0.37593985
39,39,funeral,funerals,2.07,,-0.5547557,-0.5547557,0.395522388
43,43,difficulty,difficulties,2.57,,-0.097343249,0.084476464,0.398496241
47,47,failure,failures,2.15,,0.136245931,-0.608694507,0.421052632
40,40,nightmare,nightmares,1.79,,-0.495862011,-1.18480609,0.496240602
28,28,homicide,homicides,1.5,,0.73299046,1.362010439,0.439393939
